Num_Acc;catr;circ;nbv;vosp;prof;plan;larrout;surf;infra;situ;vma
202200000113;3;2;2;0;1;1; -1;2;0;3;80
202200000114;3;2;2;0;1;3; -1;1;5;4;50
202200000115;7;3;2;0;1;1; -1;1;0;1;50
202200000116;3;2;2;0;1;1; -1;1;2;1;50
202200000117;3;2;2;0;2;3; -1;1;9;3;80
202200000118;3;2;2;0;1;1;"6;4";1;0;1;70
202200000119;3;2;2;0;1;2; -1;2;0;1;50
202200000120;3;3;2;0;2;1;7;1;0;1;50
202200000121;3;2;2;0;1;1; -1;1;0;1;50
202200000122;3;2;2;0;2;1; -1;1;0;1;80
202200000123;1;1;3;0;1;1; -1;1;1;1;110
202200000124;7;2;9;0;2;1; -1;1;0;1;70
202200000125;1;3;6;0;1;1; -1;2;0;1;70
202200000126;2;3;8;0;1;1; -1;1;3;1;90
202200000127;2;1;1;0;4;3; -1;1;3;1;50
202200000128;2;3;6;0;1;1; -1;2;0;1;90
202200000129;2;1;2;0;3;1; -1;2;2;1;70
202200000130;1;1;3;0;1;1; -1;1;0;1;110
202200000131;1;3;3;0;1;1; -1;2;0;1;110
202200000132;2;1;3;0;1;3; -1;2;3;8;90
202200000133;2;1;2;0;4;3; -1;4;0;1;90
202200000134;2;3;6;0;2;3; -1;2;9;1;90
202200000135;1;1;3;0;1;1; -1;2;0;1;90
202200000136;1;3;8;0;1;1; -1;1;1;1;90
202200000137;1;3;3;0;1;1; -1;2;0;1;70
202200000138;1;3;8;0;1;1; -1;1;0;1;90
202200000139;2;3;2;0;1;1; -1;3;0;1;90
202200000140;4;1;2;0;1;1; -1;2;0;1;50
202200000141;4;1;1;0;1;1; -1;2;0;1;70
202200000142;4;1;4;0;1;1; -1;2;0;1;70
202200000143;4;1;4;0;1;1; -1;2;0;1;70
202200000144;4;1;4;0;1;1; -1;2;0;1;70
202200000145;4;1;3;0;1;1; -1;1;0;1;70
202200000146;4;2;2;0;1;2; -1;2;0;5;30
202200000147;4;3;4;3;1;1; -1;1;0;6;30
202200000148;4;2;2;0;1;1; -1;2;0;1;30
202200000149;4;2;2;0;1;1; -1;2;0;1;30
202200000150;4;1;3;0;1;2; -1;2;0;1;30
202200000151;4;2;4;0;1;1; -1;2;0;1;30
202200000152;4;2;4;0;2;1; -1;2;0;1;30
202200000153;4;1;2;0;1;1; -1;2;0;1;30
202200000154;4;2;2;0;1;1; -1;1;6;1;30
202200000155;4;1;2;0;1;1; -1;2;6;4;30
202200000156;4;2;2;0;1;1; -1;2;1;1;30
202200000157;4;2;2;1;1;1; -1;3;0;5;30
202200000158;3;1;1;0;1;3; -1;1;0;1;50
202200000159;4;2;2;0;3;1; -1;1;0;1;50
202200000160;4;1;3;0;1;2; -1;1;0;1;50
202200000161;4;2;2;0;1;1; -1;1;0;1;50
202200000162;7;2;2;0;1;1; -1;1;0;1;50
202200000163;4;2;2;2;1;1; -1;1;0;1;50
202200000164;4;2;2;0;1;1; -1;1;0;1;50
202200000165;4;2;2;0;1;1; -1;1;0;1;50
202200000166;4;1;2;0;1;2; -1;1;0;1;50
202200000167;4;2;2;0;1;1; -1;1;0;1;50
202200000168;7;3;4;0;1;1; -1;1;0;1;50
202200000169;4;2;0;0;1;1; -1;1;0;1;50
202200000170;4;1;1;0;1;1; -1;1;0;1;30
202200000171;4;1;1;0;1;1; -1;1;0;1;50
202200000172;4;2;2;0;1;1; -1;1;9;1;30
202200000173;3;2;0;0;1;1; -1;1;0;1;50
202200000174;1;1;4;0;1;3; -1;1;0;1;90
202200000175;4;2;2;0;1;3; -1;1;0;1;50
202200000176;4;2;2;0;2;1; -1;1;0;1;30
202200000177;4;-1;2;0;1;1; -1;1;0;1;50
202200000178;4;2;2;0;1;1; -1;1;0;1;50
202200000179;4;1;1;1;1;1; -1;1;0;5;30
202200000180;4;1;2;0;2;1; -1;1;0;1;50
202200000181;3;2;2;0;1;1; -1;1;0;1;50
202200000182;3;2;2;0;1;3; -1;1;0;3;80
202200000183;4;1;4;0;1;1; -1;1;0;1;70
202200000184;4;2;3;0;2;1; -1;1;0;1;30
202200000185;4;2;2;0;2;1; -1;1;0;1;30
202200000186;4;2;2;0;1;1; -1;1;0;1;30
202200000187;4;1; -1;0;1;1; -1;1;0;1;30
202200000188;4;2;2;0;1;1; -1;1;0;1;30
202200000189;4;1;3;3;1;1; -1;1;0;1;30
202200000190;4;1;1;0;1;1; -1;1;0;1;30
202200000191;4;1;4;0;1;2; -1;1;0;1;30
202200000192;4;1;3;3;1;1; -1;1;0;1;30
202200000193;4;2;4;3;1;1; -1;1;0;1;30
202200000194;3;2;2;0;1;1; -1;1;0;1;50
